chunks,questions,answers
"16:00 - 17:30 ПТ нет приёма СБ нет приёма ВС нет приёма Профком ИУ Девятый этаж ГЗ Кафедра ИУ5 Можно подняться по лестнице, но лучше на лифте. Заведующий кафедрой Чёрненький Валерий Михайлович. Кабинет: 902. Часы приёма: День Время ПН нет приёма ВТ 16:00 - 18:00 СР нет приёма ЧТ нет приёма ПТ 16:00 - 18:00 СБ нет приёма ВС нет приёма Библиотека ГЗ УЛК Студсовет Поликлиника Расписание приёма врачей. Бухгалтерия Находится в корпусе поликлиники, на 4 этаже. Отдел по студенческим стипендиям Кабинет","Где и в какие дни можно получить консультацию заведующего кафедрой ИУ5?

","

Получить консультацию заведующего кафедрой ИУ5, Чёрненького Валерия Михайловича, можно в рабочее время по вторникам с 16:00 до 18:00 и по пятницам с 16:00 до 18:00 в кабинете 902 на девятом этаже ГЗ."
"Кабинет: 902. Часы приёма: День Время ПН нет приёма ВТ 16:00 - 18:00 СР нет приёма ЧТ нет приёма ПТ 16:00 - 18:00 СБ нет приёма ВС нет приёма Библиотека ГЗ УЛК Студсовет Поликлиника Расписание приёма врачей. Бухгалтерия Находится в корпусе поликлиники, на 4 этаже. Отдел по студенческим стипендиям Кабинет 425. График работы: День Время работы Обед ПН 08:00 - 17:30 12:30 - 13:30 ВТ СР ЧТ ПТ 08:00 - 16:00 СБ выходной ВС Столовые ГЗ Первый этаж студенческая столовая: по будням: 10:00 до 18:00; в","В какие дни и в какое время можно получить студенческую стипендию?

","
Получить студенческую стипендию можно в будние дни с 08:00 до 17:30, кроме перерыва на обед с 12:30 до 13:30. Кабинет 425."
"врачей. Бухгалтерия Находится в корпусе поликлиники, на 4 этаже. Отдел по студенческим стипендиям Кабинет 425. График работы: День Время работы Обед ПН 08:00 - 17:30 12:30 - 13:30 ВТ СР ЧТ ПТ 08:00 - 16:00 СБ выходной ВС Столовые ГЗ Первый этаж студенческая столовая: по будням: 10:00 до 18:00; в субботу: с 09:00 до 17:00. преподавательская столовая: с 09:00 до 17:00. Третий этаж Буфет ""Юг"": с 10:00 до 17:30. УЛК Спортивный комплекс День Время работы Перерыв ПН 10:00 - 19:00 14:45 - 15:30 ВТ СР","Где находится бухгалтерия и какой у неё график работы?
","
Бухгалтерия находится в корпусе поликлиники, на 4 этаже. График работы: с понедельника по пятницу с 08:00 до 17:30, обед с 12:30 до 13:30. В субботу — выходной."
"СБ выходной ВС Столовые ГЗ Первый этаж студенческая столовая: по будням: 10:00 до 18:00; в субботу: с 09:00 до 17:00. преподавательская столовая: с 09:00 до 17:00. Третий этаж Буфет ""Юг"": с 10:00 до 17:30. УЛК Спортивный комплекс День Время работы Перерыв ПН 10:00 - 19:00 14:45 - 15:30 ВТ СР ЧТ ПТ СБ ВС 10:00 - 16:00 - Горячая еда с 10:00 до 14:30 и с 15:30 до 18:30. УСО Управление студенческими общежитиями. Находится в корпусе общежития №11, на первом этаже. График работы (данные от","Какой график работы у столовой на первом этаже главного здания и у буфета «Юг» в будние дни?

","
Столовая на первом этаже главного здания работает с 10:00 до 18:00. Буфет «Юг» открыт с 10:00 до 17:30."
"Спортивный комплекс День Время работы Перерыв ПН 10:00 - 19:00 14:45 - 15:30 ВТ СР ЧТ ПТ СБ ВС 10:00 - 16:00 - Горячая еда с 10:00 до 14:30 и с 15:30 до 18:30. УСО Управление студенческими общежитиями. Находится в корпусе общежития №11, на первом этаже. График работы (данные от 18.07.2012): День Время работы Обед ПН 09:00 - 18:00 12:30 - 13:15 ВТ СР ЧТ ПТ 09:00 - 16:45 СБ выходной - ВС выходной Бюро пропусков График работы (данные от 18.07.2012): День Время работы Перерыв №1 Перерыв №2 ПН 09:00","Какой график работы спортивного комплекса?
","
Спортивный комплекс работает с понедельника по субботу с 10:00 до 19:00, в воскресенье — с 10:00 до 16:00. Перерыв: с 14:45 до 15:30 ежедневно. Горячая еда доступна с 10:00 до 14:30 и с 15:30 до 18:30."
"корпусе общежития №11, на первом этаже. График работы (данные от 18.07.2012): День Время работы Обед ПН 09:00 - 18:00 12:30 - 13:15 ВТ СР ЧТ ПТ 09:00 - 16:45 СБ выходной - ВС выходной Бюро пропусков График работы (данные от 18.07.2012): День Время работы Перерыв №1 Перерыв №2 ПН 09:00 - 19:45 12:30 - 13:15 17:30 - 18:00 ВТ СР ЧТ ПТ СБ ВС УВЦ Учебный военный центр. Контакты. Управление кадров Отдел кадров студентов ГЗ, 2 этаж, северное крыло, кабинет 274. График работы: День Время работы Обед ПН","Какой график работы у бюро пропусков в общежитии №11?

","
График работы бюро пропусков (данные от 18.07.2012): с 09:00 до 19:45, перерывы: в 12:30–13:15 и в 17:30–18:00, кроме выходных и субботы."
"(данные от 18.07.2012): День Время работы Перерыв №1 Перерыв №2 ПН 09:00 - 19:45 12:30 - 13:15 17:30 - 18:00 ВТ СР ЧТ ПТ СБ ВС УВЦ Учебный военный центр. Контакты. Управление кадров Отдел кадров студентов ГЗ, 2 этаж, северное крыло, кабинет 274. График работы: День Время работы Обед ПН 14:00 - 17:00 - ВТ СР ЧТ ПТ 14:00 - 16:45 СБ выходной ВС Вы только посмотрите на этот божественный график работы. C двух до пяти, всего три часа в день! А в пятницу ещё и на 15 минут меньше! Оч быстро устают.","Какой график работы у отдела кадров студентов в УВЦ?

","
График работы отдела кадров студентов ГЗ УВЦ: с понедельника по пятницу с 14:00 до 16:45, перерыв на обед с 14:00 до 17:00. В субботу — выходной."
"График работы: День Время работы Обед ПН 14:00 - 17:00 - ВТ СР ЧТ ПТ 14:00 - 16:45 СБ выходной ВС Вы только посмотрите на этот божественный график работы. C двух до пяти, всего три часа в день! А в пятницу ещё и на 15 минут меньше! Оч быстро устают. Причём, это именно отдельно для студентов кабинет, для сотрудников другой, так что это не от перегруженности. Отдел делопроизводства ГЗ, 2 этаж, северное крыло, кабинет 276а. График работы: День Время работы Обед ПН 14:00 - 17:00 - ВТ СР ЧТ ПТ 14:00","Сколько часов в день работает этот отдел?
","
Всего три часа в день, с 14:00 до 16:45 в будние дни, кроме пятницы, и в этот день на 15 минут меньше."
"ещё и на 15 минут меньше! Оч быстро устают. Причём, это именно отдельно для студентов кабинет, для сотрудников другой, так что это не от перегруженности. Отдел делопроизводства ГЗ, 2 этаж, северное крыло, кабинет 276а. График работы: День Время работы Обед ПН 14:00 - 17:00 - ВТ СР ЧТ ПТ 14:00 - 16:45 СБ выходной ВС Различные отделы, службы Отдел социальной стипендии ГЗ, 4 этаж, кабинет 435. График работы: День Время работы Обед ПН 13:00 - 16:00 - ВТ СР ЧТ ПТ СБ выходной ВС Третий отдел ГЗ, 2","Где и в какое время можно получить социальную стипендию?

","
Получить социальную стипендию можно на 4 этаже Главного здания (ГЗ) в кабинете 435 с 13:00 до 16:00 по понедельникам."
"работы Обед ПН 14:00 - 17:00 - ВТ СР ЧТ ПТ 14:00 - 16:45 СБ выходной ВС Различные отделы, службы Отдел социальной стипендии ГЗ, 4 этаж, кабинет 435. График работы: День Время работы Обед ПН 13:00 - 16:00 - ВТ СР ЧТ ПТ СБ выходной ВС Третий отдел ГЗ, 2 этаж, кабинет 235. С 11 мая 2010 года студенты всех факультетов визируют анкету для оформления загранпаспорта в комнате 396б (центральная лестница, 3 этаж). График работы: День Время работы Обед ПН 13:30 - 17:00 - ВТ СР ЧТ ПТ СБ выходной ВС","Где и когда студенты могут визировать анкету для оформления загранпаспорта?

","
Студенты могут визировать анкету для оформления загранпаспорта в комнате 396б (центральная лестница, 3 этаж) с 11 мая 2010 года. График работы: ПН 13:30 - 17:00, ВТ–ПТ."
"ЧТ ПТ СБ выходной ВС Третий отдел ГЗ, 2 этаж, кабинет 235. С 11 мая 2010 года студенты всех факультетов визируют анкету для оформления загранпаспорта в комнате 396б (центральная лестница, 3 этаж). График работы: День Время работы Обед ПН 13:30 - 17:00 - ВТ СР ЧТ ПТ СБ выходной ВС Интернеты Выдача логинов и паролей на университетский WiFi и на интернет во 2 общежитии осуществляется на первом этаже ГЗ, в том же помещении, что и типография. Сотрудникам (не студентам) интернеты выдаются на 2 этаже","Где и когда студентам нужно визировать анкету для оформления загранпаспорта?

","
Студентам нужно визировать анкету для оформления загранпаспорта в комнате 396б (центральная лестница, 3 этаж) с 11 мая 2010 года. График работы: понедельник — выходной, вторник–пятница — с 13:30 до 17:00, суббота и воскресенье — выходной."
"День Время работы Обед ПН 13:30 - 17:00 - ВТ СР ЧТ ПТ СБ выходной ВС Интернеты Выдача логинов и паролей на университетский WiFi и на интернет во 2 общежитии осуществляется на первом этаже ГЗ, в том же помещении, что и типография. Сотрудникам (не студентам) интернеты выдаются на 2 этаже ГЗ, в помещении 299ав (напротив лифта) на основании служебной записки (образец и чистые бланки - на месте). Студентам первого курса необходимо иметь при себе только студенческий билет или зачётную книжку.","Где и на каких условиях можно получить логин и пароль для доступа в интернет в общежитии?
","
Вы можете получить логин и пароль на первом этаже главного здания (ГЗ), в том же помещении, где находится типография. Студентам первого курса необходимо иметь при себе студенческий билет или зачётную книжку. Сотрудникам университета выдача логинов и паролей осуществляется на втором этаже ГЗ, в помещении 299ав (напротив лифта) на основании служебной записки (образец и чистые бланки — на месте)."
"осуществляется на первом этаже ГЗ, в том же помещении, что и типография. Сотрудникам (не студентам) интернеты выдаются на 2 этаже ГЗ, в помещении 299ав (напротив лифта) на основании служебной записки (образец и чистые бланки - на месте). Студентам первого курса необходимо иметь при себе только студенческий билет или зачётную книжку. Студентам остальных курсов интернеты выдаются только при закрытой летней сессии, при себе иметь зачётку. График работы: День Время работы Обед ПН 10:00 - 16:00 13:00","Где и на каких условиях можно получить интернет-карту для сотрудников и студентов?

","
Для сотрудников интернеты выдаются на втором этаже ГЗ, в помещении 299ав (напротив лифта) на основании служебной записки. Студентам первого курса необходимо иметь при себе только студенческий билет или зачётную книжку. Студентам остальных курсов интернеты выдаются только при закрытой летней сессии, при себе иметь зачётку. Интернет-карты выдают на первом этаже ГЗ, в том же помещении, что и типографию."
"лифта) на основании служебной записки (образец и чистые бланки - на месте). Студентам первого курса необходимо иметь при себе только студенческий билет или зачётную книжку. Студентам остальных курсов интернеты выдаются только при закрытой летней сессии, при себе иметь зачётку. График работы: День Время работы Обед ПН 10:00 - 16:00 13:00 - 14:00 ВТ СР ЧТ ПТ СБ выходной ВС Печать Где в университете можно распечатать документы, чертежи. Типография Находится на первом этаже ГЗ, там же, где выдают","Где и в какое время можно распечатать документы и чертежи в университете?
","
В типографии на первом этаже главного здания. График работы: с 10:00 до 16:00, обед с 13:00 до 14:00."
"курсов интернеты выдаются только при закрытой летней сессии, при себе иметь зачётку. График работы: День Время работы Обед ПН 10:00 - 16:00 13:00 - 14:00 ВТ СР ЧТ ПТ СБ выходной ВС Печать Где в университете можно распечатать документы, чертежи. Типография Находится на первом этаже ГЗ, там же, где выдают интернеты. Самые низкие цены в университете. График работы: День Время работы Обед ПН 10:00 - 17:00 - ВТ СР ЧТ ПТ СБ выходной ВС ЧЕРТЁЖ.ру ГЗ, 4 этаж, северное крыло. Контакты: сайт:","Где в университете можно распечатать документы и получить интернет, и какие условия для этого нужно выполнить?
","
Чтобы получить доступ к интернету и распечатать документы или чертежи в нашем университете, необходимо закрыть летнюю сессию. При себе нужно иметь зачётную книжку. Интернет выдают в месте, где можно распечатать документы — типография находится на первом этаже главного здания (ГЗ), там же, где выдают интернеты. Работает типография с понедельника по пятницу с 10:00 до 17:00, без обеда. «Чертёж.ру» располагается в ГЗ на 4-м этаже в северном крыле."
"Печать Где в университете можно распечатать документы, чертежи. Типография Находится на первом этаже ГЗ, там же, где выдают интернеты. Самые низкие цены в университете. График работы: День Время работы Обед ПН 10:00 - 17:00 - ВТ СР ЧТ ПТ СБ выходной ВС ЧЕРТЁЖ.ру ГЗ, 4 этаж, северное крыло. Контакты: сайт: http://www.chertez.ru/ телефон: +7-495-542-73-89 График работы: День Время работы Обед ПН 09:00 - 18:00 - ВТ СР ЧТ ПТ СБ выходной ВС Общежития Общежитие №2 Адрес: Москва, Госпитальная","Где в университете можно распечатать чертежи?
","
В университете есть несколько мест, где можно распечатать документы и чертежи. Типография находится на первом этаже главного здания (ГЗ), там же, где выдают интернеты. Ещё один вариант — воспользоваться услугами компании «ЧЕРТЁЖ.ру», она расположена в ГЗ на 4 этаже в северном крыле."
"Время работы Обед ПН 10:00 - 17:00 - ВТ СР ЧТ ПТ СБ выходной ВС ЧЕРТЁЖ.ру ГЗ, 4 этаж, северное крыло. Контакты: сайт: http://www.chertez.ru/ телефон: +7-495-542-73-89 График работы: День Время работы Обед ПН 09:00 - 18:00 - ВТ СР ЧТ ПТ СБ выходной ВС Общежития Общежитие №2 Адрес: Москва, Госпитальная набережная, 4, строение 1а Телефон: Комендант: Журкова Наталья Николаевна Завхоз: Синичкина Светлана Ивановна Полная информация доступна на странице Общежитие №2. Общежитие №5 Адрес: 105043, Москва,","Какой график работы у офиса «ЧЕРТЁЖ.ру»?

","
График работы офиса: с понедельника по пятницу с 09:00 до 18:00, без обеда. В субботу и воскресенье — выходной. Офис находится в северном крыле на 4 этаже здания ГЗ. Обеденный перерыв проходит с 10:00 до 17:00 только в понедельник."
"+7-495-542-73-89 График работы: День Время работы Обед ПН 09:00 - 18:00 - ВТ СР ЧТ ПТ СБ выходной ВС Общежития Общежитие №2 Адрес: Москва, Госпитальная набережная, 4, строение 1а Телефон: Комендант: Журкова Наталья Николаевна Завхоз: Синичкина Светлана Ивановна Полная информация доступна на странице Общежитие №2. Общежитие №5 Адрес: 105043, Москва, Измайловский проспект, 73/2 Телефон: +7-499-367-78-18 Комендант: Новожилова Валентина Михайловна Полная информация доступна на странице Общежитие №5.","Каковы контактные данные комендантов общежитий, которые находятся по адресам: Госпитальная набережная, 4, строение 1а и Измайловский проспект, 73/2?

","
Комендант общежития №2 — Журкова Наталья Николаевна, телефон для связи не указан. Комендант общежития №5 — Новожилова Валентина Михайловна, контактный телефон: +7-499-367-78-18."
"СБ выходной ВС Общежития Общежитие №2 Адрес: Москва, Госпитальная набережная, 4, строение 1а Телефон: Комендант: Журкова Наталья Николаевна Завхоз: Синичкина Светлана Ивановна Полная информация доступна на странице Общежитие №2. Общежитие №5 Адрес: 105043, Москва, Измайловский проспект, 73/2 Телефон: +7-499-367-78-18 Комендант: Новожилова Валентина Михайловна Полная информация доступна на странице Общежитие №5. Общежитие №10 Адрес: 107005, Москва, Госпитальный переулок, 4/6 Телефон: Комендант:","Какие контактные данные у общежития №2?
","
Адрес: Москва, Госпитальная набережная, 4, строение 1а. Телефон: нет данных. Комендант: Журкова Наталья Николаевна."
"4, строение 1а Телефон: Комендант: Журкова Наталья Николаевна Завхоз: Синичкина Светлана Ивановна Полная информация доступна на странице Общежитие №2. Общежитие №5 Адрес: 105043, Москва, Измайловский проспект, 73/2 Телефон: +7-499-367-78-18 Комендант: Новожилова Валентина Михайловна Полная информация доступна на странице Общежитие №5. Общежитие №10 Адрес: 107005, Москва, Госпитальный переулок, 4/6 Телефон: Комендант: Полная информация доступна на странице Общежитие №10. Почтовые отделения","Где можно узнать контактные данные коменданта общежития №10?

","
Полная информация о коменданте доступна на странице Общежитие №10."
"Синичкина Светлана Ивановна Полная информация доступна на странице Общежитие №2. Общежитие №5 Адрес: 105043, Москва, Измайловский проспект, 73/2 Телефон: +7-499-367-78-18 Комендант: Новожилова Валентина Михайловна Полная информация доступна на странице Общежитие №5. Общежитие №10 Адрес: 107005, Москва, Госпитальный переулок, 4/6 Телефон: Комендант: Полная информация доступна на странице Общежитие №10. Почтовые отделения Измайловское Адрес отделения: 105043, Москва, ул. 6-я Парковая, 13 График","Где находится общежитие № 2 и как связаться с комендантом общежития № 5?

","
Общежитие № 2: нет данных.
Общежитие № 5: Москва, Измайловский проспект, 73/2. Телефон: +7-499-367-78-18. Комендант: Новожилова Валентина Михайловна."
"Общежитие №5 Адрес: 105043, Москва, Измайловский проспект, 73/2 Телефон: +7-499-367-78-18 Комендант: Новожилова Валентина Михайловна Полная информация доступна на странице Общежитие №5. Общежитие №10 Адрес: 107005, Москва, Госпитальный переулок, 4/6 Телефон: Комендант: Полная информация доступна на странице Общежитие №10. Почтовые отделения Измайловское Адрес отделения: 105043, Москва, ул. 6-я Парковая, 13 График работы (данные от 22.03.12): День Время работы Обед ПН 08:00 - 20:00 13:00 - 14:00","Где находится общежитие №5 и как связаться с комендантом?

","
Общежитие №5 расположено по адресу: Москва, Измайловский проспект, 73/2. Связаться с комендантом Новожиловой Валентиной Михайловной можно по телефону +7-499-367-78-18."
"информация доступна на странице Общежитие №5. Общежитие №10 Адрес: 107005, Москва, Госпитальный переулок, 4/6 Телефон: Комендант: Полная информация доступна на странице Общежитие №10. Почтовые отделения Измайловское Адрес отделения: 105043, Москва, ул. 6-я Парковая, 13 График работы (данные от 22.03.12): День Время работы Обед ПН 08:00 - 20:00 13:00 - 14:00 ВТ СР ЧТ ПТ СБ 09:00 - 18:00 ВС выходной Банковские отделения Сбербанк Университетский График работы: День Время работы Обед ПН 09:00 -","Где находится общежитие № 10?
","
Москва, Госпитальный переулок, 4/6."
"Почтовые отделения Измайловское Адрес отделения: 105043, Москва, ул. 6-я Парковая, 13 График работы (данные от 22.03.12): День Время работы Обед ПН 08:00 - 20:00 13:00 - 14:00 ВТ СР ЧТ ПТ СБ 09:00 - 18:00 ВС выходной Банковские отделения Сбербанк Университетский График работы: День Время работы Обед ПН 09:00 - 16:30 - ВТ СР 10:00 - 16:30 ЧТ 09:00 - 16:30 ПТ СБ выходной ВС Измайлово Военкоматы Измайловский Адрес: Москва, ул. Парковая 5-я, 30а (на карте) График работы: День Время работы Обед ПН","Какой график работы у почтового отделения в Измайлово?

","
График работы: с понедельника — 08:00–20:00, перерыв на обед — с 13:00 до 14:00; со вторника по субботу — 09:00–18:00. Воскресенье — выходной."
"- 18:00 ВС выходной Банковские отделения Сбербанк Университетский График работы: День Время работы Обед ПН 09:00 - 16:30 - ВТ СР 10:00 - 16:30 ЧТ 09:00 - 16:30 ПТ СБ выходной ВС Измайлово Военкоматы Измайловский Адрес: Москва, ул. Парковая 5-я, 30а (на карте) График работы: День Время работы Обед ПН 10:00 - 17:00 13:00 - 14:00 ВТ нет приёма - СР 10:00 - 17:00 13:00 - 14:00 ЧТ нет приёма - ПТ СБ ВС Для прохода в военкомат при себе нужно иметь паспорт или удостоверение гражданина, подлежащего","Какой график работы у военкомата в Измайлово и какие документы нужны для прохода туда?
","
Военкомат в Измайлово работает с понедельника по среду и в пятницу с 10:00 до 17:00, перерыв с 13:00 до 14:00. Для прохода в военкомат при себе нужно иметь паспорт или удостоверение гражданина, подлежащего призыву на военную службу."
"ул. Парковая 5-я, 30а (на карте) График работы: День Время работы Обед ПН 10:00 - 17:00 13:00 - 14:00 ВТ нет приёма - СР 10:00 - 17:00 13:00 - 14:00 ЧТ нет приёма - ПТ СБ ВС Для прохода в военкомат при себе нужно иметь паспорт или удостоверение гражданина, подлежащего призыву. А лучше и то, и то.","Какой график работы у военкомата на 5-й Парковой, 30а?
","
Военкомат на ул. 5-я Парковая, д. 30а работает с понедельника по среду с 10:00 до 17:00. Обеденный перерыв — с 13:00 до 14:00. Во вторник приёма нет."
